country,state,city,latitude,longitude,standard,tz
Sweden,,Stockholm,59.3275,18.0547,15,Europe/Paris
Switzerland,,Bern,46.948,7.4474,15,Europe/Paris
Syria,,Damascus,33.502,36.2981,45,Europe/Moscow
Taiwan,,Taipei,25.0375,121.5625,120,Asia/Manila
Tajikistan,,Dushanbe,38.5367,68.78,75,Asia/Karachi
Tanzania,,Dodoma,-6.1731,35.7419,45,Europe/Moscow
Thailand,,Bangkok,13.7525,100.4942,105,Asia/Jakarta
Timor-Leste,,Dili,-8.5594,125.5795,135,Asia/Tokyo
Togo,,Lome,6.1308,1.2153,0,Africa/Abidjan
Trinidad,,Port of Spain,10.6667,-61.5167,-60,America/Caracas
Tunisia,,Tunis,36.8064,10.1817,15,Africa/Lagos
Turkey,,Ankara,39.93,32.85,45,Europe/Moscow
Turkmenistan,,Ashgabat,37.9375,58.38,75,Asia/Karachi
UAE,,Abu Dhabi,24.4667,54.3667,60,Asia/Dubai
USA,AK,Juneau,58.4546,-134.1739,-135,America/Anchorage
USA,AL,Montgomery,32.3482,-86.2668,-90,America/Chicago
USA,AR,Little Rock,34.7256,-92.3577,-90,America/Chicago
USA,AZ,Phoenix,33.5722,-112.0892,-105,America/Phoenix
USA,CA,Sacramento,38.5677,-121.4685,-120,America/Los_Angeles
USA,CO,Denver,39.762,-104.8758,-105,America/Denver
USA,CT,Hartford,41.7661,-72.6834,-75,America/New_York
USA,DC,Washington,38.9047,-77.0163,-75,America/New_York
USA,DE,Dover,39.161,-75.5202,-75,America/New_York
USA,FL,Tallahassee,30.4551,-84.2527,-75,America/New_York
USA,GA,Atlanta,33.7628,-84.422,-75,America/New_York
USA,HI,Honolulu,21.3294,-157.846,-150,Pacific/Honolulu
USA,IA,Des Moines,41.5725,-93.6105,-90,America/Chicago
USA,ID,Boise,43.6005,-116.2308,-105,America/Denver
USA,IL,Springfield,42.1155,-72.5395,-75,America/New_York
USA,IN,Indianapolis,39.7771,-86.1458,-75,America/New_York
USA,KS,Topeka,39.0346,-95.6955,-90,America/Chicago
